basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
ktc,Kyler Murray,QB,3937,0.967,0.972,3807,3826,+0.5%,101,95,6
ktc,Christian Watson,WR,3918,0.853,0.872,3342,3418,+2.3%,124,108,16
ktc,Daniel Jones,QB,3882,0.967,0.974,3754,3782,+0.7%,103,96,7
ktc,Alec Pierce,WR,3876,0.853,0.873,3306,3382,+2.3%,127,109,18
ktc,Jordan Addison,WR,3876,0.853,0.873,3306,3382,+2.3%,128,110,18
ktc,Matthew Stafford,QB,3868,0.967,0.975,3740,3771,+0.8%,104,100,4
ktc,Parker Washington,WR,3862,0.853,0.873,3294,3371,+2.3%,129,112,17
ktc,Michael Wilson,WR,3729,0.853,0.874,3181,3258,+2.4%,133,118,15
ktc,D'Andre Swift,RB,3685,1.296,1.137,4776,4189,-12.3%,63,81,-18
ktc,Malik Willis,QB,3682,0.967,0.983,3560,3620,+1.7%,113,104,9
ktc,Matthew Golden,WR,3598,0.853,0.875,3069,3147,+2.5%,135,126,9
ktc,D.J. Moore,WR,3568,0.853,0.875,3044,3121,+2.6%,136,127,9
ktc,Terry McLaurin,WR,3538,0.853,0.875,3018,3096,+2.6%,139,129,10
ktc,Josh Downs,WR,3534,0.853,0.875,3015,3092,+2.6%,140,130,10
ktc,Omar Cooper Jr.,WR,3525,0.853,0.875,3007,3085,+2.6%,142,131,11
ktc,Jonathon Brooks,RB,3524,1.296,1.119,4567,3945,-13.6%,71,87,-16
ktc,Denzel Boston,WR,3524,0.853,0.875,3006,3084,+2.6%,143,132,11
ktc,Quentin Johnston,WR,3514,0.853,0.875,2997,3075,+2.6%,145,133,12
ktc,Kyle Monangai,RB,3495,1.296,1.116,4530,3901,-13.9%,74,90,-16
ktc,Blake Corum,RB,3477,1.296,1.114,4506,3874,-14.0%,76,92,-16
ktc,DK Metcalf,WR,3466,0.853,0.876,2956,3035,+2.6%,148,136,12
ktc,David Montgomery,RB,3462,1.296,1.113,4487,3852,-14.2%,77,93,-16
ktc,Ty Simpson,QB,3442,0.967,0.995,3328,3425,+2.9%,126,106,20
ktc,Oronde Gadsden,TE,3882,0.936,1.016,3634,3946,+8.6%,108,86,22
ktc,Jayden Higgins,WR,3419,0.853,0.876,2916,2995,+2.7%,152,137,15
ktc,Wan'Dale Robinson,WR,3414,0.853,0.876,2912,2991,+2.7%,153,138,15
ktc,RJ Harvey,RB,3413,1.296,1.107,4423,3779,-14.6%,79,98,-19
ktc,Zach Charbonnet,RB,3409,1.296,1.107,4418,3773,-14.6%,80,99,-19
ktc,Isaiah Likely,TE,3859,0.936,1.017,3612,3925,+8.7%,109,88,21
ktc,Davante Adams,WR,3399,0.853,0.876,2899,2978,+2.7%,156,139,17
ktc,Mike Evans,WR,3396,0.853,0.876,2897,2975,+2.7%,157,140,17
ktc,George Kittle,TE,3836,0.936,1.018,3590,3905,+8.8%,110,89,21
ktc,Travis Hunter,WR,3374,0.853,0.876,2878,2957,+2.7%,160,141,19
ktc,Eli Stowers,TE,3824,0.936,1.019,3579,3895,+8.8%,111,91,20
ktc,Jayden Reed,WR,3367,0.853,0.876,2872,2951,+2.7%,161,142,19
ktc,Xavier Worthy,WR,3362,0.853,0.876,2868,2946,+2.7%,162,143,19
ktc,Michael Pittman,WR,3360,0.853,0.876,2866,2945,+2.7%,163,144,19
ktc,Jaylen Warren,RB,3315,1.296,1.096,4296,3633,-15.4%,81,103,-22
ktc,Jake Ferguson,TE,3643,0.936,1.025,3410,3736,+9.6%,117,101,16
ktc,Dalton Kincaid,TE,3636,0.936,1.026,3403,3730,+9.6%,119,102,17
ktc,De'Zhaun Stribling,WR,3190,0.853,0.878,2721,2800,+2.9%,173,159,14
ktc,Jalen Coker,WR,3173,0.853,0.878,2707,2786,+2.9%,174,162,12
ktc,Chuba Hubbard,RB,3169,1.296,1.079,4107,3420,-16.7%,90,107,-17
ktc,Rico Dowdle,RB,3131,1.296,1.075,4058,3365,-17.1%,93,113,-20
ktc,Jonah Coleman,RB,3090,1.296,1.07,4005,3306,-17.5%,95,116,-21
ktc,Courtland Sutton,WR,3078,0.853,0.879,2626,2705,+3.0%,180,170,10
ktc,J.K. Dobbins,RB,3039,1.296,1.064,3939,3232,-17.9%,96,120,-24
