year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),37,single,single,1,1,1,1886.3,28.08,55068,DEN,Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),37,multi,multi,2,1,1,1981.2,23.49,54445,MIA|DEN,Tua Tagovailoa/Jaylen Waddle (MIA); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,natural,none,0,0,0,2361.7,22.47,54817,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,none,none,0,0,0,2361.7,22.47,54817,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,single,single,1,1,1,2351.9,22.83,54939,DEN,Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,multi,multi,2,1,1,2381.7,20.48,54439,MIA|DEN,Tua Tagovailoa/Jaylen Waddle (MIA); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),39,natural,none,0,0,1,2029.8,26.75,54125,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),39,none,none,0,0,1,2029.8,26.75,54125,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),39,single,single,1,0,1,2037.7,22.17,53625,MIA,Tua Tagovailoa/Jaylen Waddle (MIA),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),39,multi,multi,2,0,1,1856.2,25.67,53799,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Michael Thomas,
