year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),40,natural,none,0,0,2296.1,20.98,57582,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),40,none,none,0,0,2296.1,20.98,57582,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),40,double,double,2,1,2174.8,24.73,57713,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),40,triple,triple,3,1,2250.9,17.74,57719,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),41,natural,none,0,0,2209.7,29.54,56495,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),41,none,none,0,0,2209.7,29.54,56495,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),41,double,double,2,1,2192.5,29.81,56525,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),41,triple,triple,3,1,2284.4,27.97,56472,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),42,natural,double,2,1,1795.5,26.67,56669,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),42,none,none,0,0,1782.5,24.22,56925,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),42,double,double,2,1,1795.5,26.67,56669,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),42,triple,triple,3,1,1708,24.55,57660,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),43,natural,none,0,0,2317.1,25.13,56148,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),43,none,none,0,0,2317.1,25.13,56148,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),43,double,double,2,1,2212.9,24.46,56030,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),43,triple,triple,3,1,2205.6,27.72,56757,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),44,natural,double,2,1,2076.3,23.26,55018,MIA,TE/WR,Mike Gesicki/Jaylen Waddle,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),44,none,none,0,0,2074.8,25.92,55202,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),44,double,double,2,1,2076.3,23.26,55018,MIA,TE/WR,Mike Gesicki/Jaylen Waddle,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),44,triple,triple,3,1,2026.9,21.25,54319,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),45,natural,none,0,0,2196,21.96,55034,,,,
