format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,archetype,2022,2026_6,RB_vs_TE,RB,TE,1670,72813.3,65921.7,9.9
hwang,archetype,2022,2026_6,WR_vs_TE,WR,TE,1870,67945.7,80739.8,-17.2
hwang,archetype,2022,2026_7,QB_vs_RB,QB,RB,1260,105774.7,92452.4,13.4
hwang,archetype,2022,2026_7,QB_vs_WR,QB,WR,2000,170645.3,104420.6,48.2
hwang,archetype,2022,2026_7,QB_vs_TE,QB,TE,590,41400.2,25090.8,49.1
hwang,archetype,2022,2026_7,RB_vs_WR,RB,WR,3910,289483.7,181445.6,45.9
hwang,archetype,2022,2026_7,RB_vs_TE,RB,TE,1670,83447.5,68546,19.6
hwang,archetype,2022,2026_7,WR_vs_TE,WR,TE,1870,68049,83804.5,-20.8
hwang,year,2023,,QB_vs_RB,QB,RB,31400,1675560.8,1936903.8,-14.5
hwang,year,2023,,QB_vs_WR,QB,WR,38000,2099459.7,1793859.1,15.7
hwang,year,2023,,QB_vs_TE,QB,TE,13800,626923.2,520465.5,18.6
hwang,year,2023,,RB_vs_WR,RB,WR,82400,4525922.2,3129045.4,36.5
hwang,year,2023,,RB_vs_TE,RB,TE,33200,1807479.2,1268931.6,35
hwang,year,2023,,WR_vs_TE,WR,TE,44400,1546264.9,1630200.5,-5.3
hwang,archetype,2023,2024_1,QB_vs_RB,QB,RB,1570,112179.4,89937.5,22
hwang,archetype,2023,2024_1,QB_vs_WR,QB,WR,1900,136011.7,101228.6,29.3
hwang,archetype,2023,2024_1,QB_vs_TE,QB,TE,690,41427,27007.4,42.1
hwang,archetype,2023,2024_1,RB_vs_WR,RB,WR,4120,208911.2,178194.7,15.9
hwang,archetype,2023,2024_1,RB_vs_TE,RB,TE,1660,83165.1,65894.5,23.2
hwang,archetype,2023,2024_1,WR_vs_TE,WR,TE,2220,88839.4,84502.2,5
hwang,archetype,2023,2024_2,QB_vs_RB,QB,RB,1570,110118.5,97953.9,11.7
hwang,archetype,2023,2024_2,QB_vs_WR,QB,WR,1900,134671.8,98344.9,31.2
hwang,archetype,2023,2024_2,QB_vs_TE,QB,TE,690,40544.8,35418.5,13.5
hwang,archetype,2023,2024_2,RB_vs_WR,RB,WR,4120,228106.9,172804.4,27.6
hwang,archetype,2023,2024_2,RB_vs_TE,RB,TE,1660,91295.7,86313.5,5.6
hwang,archetype,2023,2024_2,WR_vs_TE,WR,TE,2220,85578,110795.1,-25.7
hwang,archetype,2023,2024_3,QB_vs_RB,QB,RB,1570,102021.8,106951.5,-4.7
hwang,archetype,2023,2024_3,QB_vs_WR,QB,WR,1900,125922.4,118175.7,6.3
hwang,archetype,2023,2024_3,QB_vs_TE,QB,TE,690,37838.3,33593.5,11.9
hwang,archetype,2023,2024_3,RB_vs_WR,RB,WR,4120,249633.9,209740.7,17.4
hwang,archetype,2023,2024_3,RB_vs_TE,RB,TE,1660,99752.2,81877.6,19.7
hwang,archetype,2023,2024_3,WR_vs_TE,WR,TE,2220,104370.3,105187.2,-0.8
hwang,archetype,2023,2024_4,QB_vs_RB,QB,RB,1570,71969.5,117544.7,-48.1
hwang,archetype,2023,2024_4,QB_vs_WR,QB,WR,1900,92831.1,98602.7,-6
hwang,archetype,2023,2024_4,QB_vs_TE,QB,TE,690,28693.9,31259.4,-8.6
hwang,archetype,2023,2024_4,RB_vs_WR,RB,WR,4120,276537,172883.8,46.1
