format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_2,5284,25.6,10
hwang,2021,2024_2,5323,3.3,10
hwang,2021,2024_2,5347,37.6,10
hwang,2021,2024_2,5409,0,10
hwang,2021,2024_2,5844,79,10
hwang,2021,2024_2,5846,108.8,10
hwang,2021,2024_2,5848,84.7,10
hwang,2021,2024_2,5850,111.2,10
hwang,2021,2024_2,5854,6.7,10
hwang,2021,2024_2,5857,72.3,10
hwang,2021,2024_2,5859,69.4,10
hwang,2021,2024_2,5870,59.9,10
hwang,2021,2024_2,5872,180.2,10
hwang,2021,2024_2,5880,9.1,10
hwang,2021,2024_2,5892,104.6,10
hwang,2021,2024_2,5906,85,10
hwang,2021,2024_2,5917,25.5,10
hwang,2021,2024_2,5927,75.8,10
hwang,2021,2024_2,5937,103.7,10
hwang,2021,2024_2,5938,14.7,10
hwang,2021,2024_2,5947,46.7,10
hwang,2021,2024_2,5955,85.4,10
hwang,2021,2024_2,5967,70.1,10
hwang,2021,2024_2,5970,0,10
hwang,2021,2024_2,5973,4,10
hwang,2021,2024_2,5980,80.6,10
hwang,2021,2024_2,5985,43.6,10
hwang,2021,2024_2,5987,58.8,10
hwang,2021,2024_2,6001,1.8,10
hwang,2021,2024_2,6011,7.6,10
hwang,2021,2024_2,6039,51.7,10
hwang,2021,2024_2,6074,24,10
hwang,2021,2024_2,6130,81.7,10
hwang,2021,2024_2,6144,1.3,10
hwang,2021,2024_2,6149,16.5,10
hwang,2021,2024_2,6151,54.4,10
hwang,2021,2024_2,6234,41.2,10
hwang,2021,2024_2,6271,23.1,10
hwang,2021,2024_2,6290,0,10
hwang,2021,2024_2,6421,28.7,10
hwang,2021,2024_2,6598,0.1,10
hwang,2021,2024_2,6659,16.9,10
hwang,2021,2024_2,6694,45.3,10
hwang,2021,2024_2,6768,68.6,10
hwang,2021,2024_2,6770,139.8,10
hwang,2021,2024_2,6783,17.5,10
hwang,2021,2024_2,6786,98.2,10
hwang,2021,2024_2,6790,103.4,10
hwang,2021,2024_2,6794,153.9,10
hwang,2021,2024_2,6797,177.5,10
hwang,2021,2024_2,6801,99.6,10
hwang,2021,2024_2,6803,56.1,10
hwang,2021,2024_2,6804,5,10
